cod_autor,nome,nacionalidade
734,Gabrielly Cunha,Paraguai
735,Dr. Asafe da Mota,Clipperton Island
736,Ana Luiza Garcia,Suazilândia
737,Calebe Rocha,Jamaica
738,Mathias Nascimento,Egito
739,Dr. Enzo Vargas,Ilhas Heard e McDonald
740,Cecilia das Neves,Ilhas Virgens Britânicas
741,Júlia Costa,Tuvalu
742,Gabriela Andrade,Macedônia do Norte
743,Arthur Teixeira,Estônia
744,Srta. Ayla Brito,Ilhas Falkland
745,Ana Laura Jesus,Dinamarca
746,Sra. Ana Julia Albuquerque,Samoa
747,Fernando Cavalcante,Omã
748,Ayla da Conceição,Guernsey
749,Renan Fernandes,Bahamas
750,Elisa Ribeiro,Usbequistão
751,Olívia Brito,Noruega
752,Zoe da Paz,Ashmore and Cartier Islands
753,Emanuella Rios,Antígua e Barbuda
754,Sra. Ana Lívia Campos,Argentina
755,Sr. Enzo Gabriel Sales,Comores
756,Isabelly Costa,Letônia
757,Arthur Gabriel Vieira,Arábia Saudita
758,Antonella Moraes,Timor Leste
759,Ester Cirino,Eslováquia
760,Marcelo da Conceição,Costa Rica
761,Vicente Marques,Chipre
762,Ayla Vasconcelos,Coreia do Sul
763,Marina Câmara,Omã
764,Emanuel Dias,Camboja
765,Vinicius Câmara,Ilhas Virgens Britânicas
766,Alícia Souza,Filipinas
767,Theo Montenegro,Laos
768,Maria Alice Costela,Luxemburgo
769,Valentina Garcia,Aruba
770,Beatriz Vieira,Ilha Bouvet
771,Marcela Nunes,Burquina Faso
772,Sr. Renan Gomes,Hong Kong
773,Caroline da Cunha,Chile
774,Maria Clara Moraes,Omã
775,Sr. Bernardo Rocha,Tuvalu
776,João Pedro Nogueira,Rússia
777,Anthony Gabriel Ferreira,Chade
778,Ana Lívia Cavalcante,Uganda
779,Catarina Silveira,Maldivas
780,Luana Nogueira,Líbano
781,Emanuelly Melo,Dhekelia
782,Lucas Ferreira,Nova Zelândia
783,Sr. Arthur Miguel Moraes,Bélgica
784,Agatha Novais,Comores
785,Igor Pacheco,Jibuti
786,Otto Sampaio,Irlanda
787,Fernanda Sampaio,Marianas do Norte
788,Ana Liz Rodrigues,Eslováquia
789,Anna Liz Rezende,Camboja
790,Maria Alice Correia,Hong Kong
791,Dra. Maria Vitória Macedo,Pitcairn
792,Levi Sampaio,Ilhas Heard e McDonald
793,Amanda Araújo,Sérvia
794,Bernardo Nascimento,Benim
795,Davi Luiz Cassiano,Antártica
796,Emanuella Cavalcante,Sara Ocidental
797,Dr. Luiz Gustavo Ribeiro,Bósnia e Herzegovina
798,Catarina Almeida,Líbano
799,Antony Montenegro,Dinamarca
800,Heloísa Correia,Emirados Árabes Unidos
801,Rebeca Vasconcelos,Nauru
802,Isaque Fernandes,Guiné
803,Pietro Pimenta,Hungria
804,Maria Helena Moura,Suazilândia
805,Ana Luiza Cavalcanti,Barbados
806,Isadora Ferreira,Nova Zelândia
807,Sr. João Vitor Silveira,Islândia
808,Pedro Miguel Porto,Eritreia
809,João Miguel Santos,China
810,Stella Lima,Cazaquistão
811,Heloísa Pacheco,Niue
812,Hadassa Pacheco,Gana
813,Arthur Gabriel Rodrigues,Marianas do Norte
814,Srta. Sofia Costela,Estônia
815,Maria Júlia das Neves,Brasil
816,Daniel Andrade,Butão
817,Beatriz Viana,Marianas do Norte
818,Dr. Theodoro Pereira,Indonésia
819,Sra. Isis Nascimento,Costa Rica
820,Marcos Vinicius Barbosa,Ucrânia
821,Sr. Matheus Guerra,Marianas do Norte
822,Mirella Leão,Mongólia
823,Apollo da Mata,Bielorrússia
824,Dra. Olivia Oliveira,Finlândia
825,Vitor Gabriel Moura,República Checa
826,Melissa Montenegro,Ilhas Virgens Americanas
827,José Pedro Carvalho,Suécia
828,Dr. André Nunes,Omã
829,José Miguel Cirino,Quirguizistão
830,Theodoro Cavalcanti,Suécia
831,Dante da Rocha,República Dominicana
832,Dr. Erick Teixeira,Nigéria
833,Caroline Gomes,Barein
834,Thomas Rezende,Mônaco
835,Esther Monteiro,Salvador
836,Bruna Farias,Tonga
837,Srta. Ester Leão,Bélgica
838,Maria Helena da Rocha,Turquia
839,Catarina Marques,Fiji
840,Gabriela Teixeira,Ilha do Natal
841,Dante Oliveira,Barbados
842,Davi Luiz da Rocha,México
843,Fernanda Leão,Usbequistão
844,Sr. Benjamin Guerra,Costa Rica
845,Ana Lívia Caldeira,Ilhas Virgens Britânicas
846,Natália Garcia,Zâmbia
847,Anthony Gabriel da Conceição,Gabão
848,Olívia Montenegro,Colômbia
849,Pedro Lucas Farias,Senegal
850,Arthur Miguel da Paz,Eslováquia
851,Dante Casa Grande,Birmânia
852,Lorenzo da Cunha,Bélgica
853,Calebe Pacheco,Armênia
854,Isabel Castro,Guiné
855,Dra. Aurora Camargo,Japão
856,Matteo Sousa,Portugal
857,Luara Freitas,São Vicente e Granadinas
858,Yasmin Vieira,Letônia
859,Bianca da Cruz,Nigéria
860,Diego da Conceição,Bielorrússia
861,Emanuelly Mendes,Irlanda
862,Lorenzo Montenegro,Iraque
863,Bryan Casa Grande,Angola
864,Dr. André Novais,Catar
865,Breno Cardoso,Navassa Island
866,Benjamim Souza,Itália
867,Sr. Dante Costela,Burundi
868,Lara Mendes,Arábia Saudita
869,Maria Cecília Rodrigues,Antártica
870,Sr. Arthur Gabriel Pinto,Somália
871,Thiago Mendes,Ruanda
872,Bruno Freitas,Vietnam
873,Maria Luiza Jesus,Jordânia
874,Nicolas Gonçalves,Liechtenstein
875,Lívia Barros,Mayotte
876,José Andrade,Gibraltar
877,Renan Câmara,Navassa Island
878,Diego Mendes,Polônia
879,Kevin Costa,Usbequistão
880,Raquel Cirino,São Cristóvão e Neves
881,Sophie Barbosa,Angola
882,Marina Cavalcanti,Tunísia
883,Otto Barros,República Centro-Africana
884,Sr. Francisco Moreira,Pitcairn
885,Gael Araújo,Eslovênia
886,Bruno Pimenta,Benim
887,Isis Jesus,Quiribáti
888,Julia Fonseca,Islândia
889,Henry Gabriel Carvalho,Hong Kong
890,Sr. Caleb Duarte,Ilhas Marshall
891,Carlos Eduardo Silveira,Sri Lanka
892,Eloá Fonseca,Iran
893,Emanuel da Costa,Suazilândia
894,Ravi Teixeira,Aruba
895,Dr. Felipe Leão,Países Baixos
896,Heloisa Mendonça,Islândia
897,Gustavo Lopes,Domínica
898,Sr. Leonardo Souza,Guiné-Bissau
899,Sra. Brenda Oliveira,Croácia
900,Gael Henrique das Neves,Ilhas Virgens Americanas
901,Gael Pires,Costa do Marfim
902,Benício Novaes,Venezuela
903,Sr. João Felipe Siqueira,Egito
904,Emanuella Pinto,Irlanda
905,Milena Vasconcelos,Nova Caledónia
906,Theo Pimenta,Micronésia
907,Brayan Martins,Maurícia
908,Maria Flor Vasconcelos,China
909,Juan Peixoto,Bélgica
910,Giovanna da Costa,Ashmore and Cartier Islands
911,Lucas Jesus,Grécia
912,Maria Cecília Lopes,Portugal
913,Kevin Pinto,Costa do Marfim
914,Maria Vitória Montenegro,Islândia
915,Ísis Nascimento,Somália
916,Felipe das Neves,Ilhas Virgens Americanas
917,Sara Fogaça,Jibuti
918,José Pedro Camargo,Nigéria
919,Luiz Fernando Martins,Sri Lanka
920,Mathias Mendonça,Quênia
921,Daniel Lopes,Malta
922,Clara Albuquerque,Bangladesh
923,Davi Fernandes,Granada
924,Vitor Gabriel Moura,Ilhas Caiman
925,Pedro Henrique Barbosa,Costa Rica
926,Eduarda Dias,Bermudas
927,Aylla Barros,Quênia
928,Srta. Brenda da Mata,Jamaica
929,Davi Lucas Martins,Fiji
930,Dr. Kevin Araújo,Ilha Norfolk
931,Fernanda Sampaio,Uruguai
932,Pedro Lucas Pires,Rússia
933,Luiz Henrique Garcia,Lesoto
934,Sara Abreu,Ucrânia
935,Maria Isis Aragão,Camboja
936,Theodoro da Paz,Afeganistão
937,Manuella Pimenta,Zimbábue
938,Rebeca Ferreira,Suriname
939,Olivia Rezende,Svalbard e Jan Mayen
940,Maria Eduarda Dias,São Tomé e Príncipe
941,Catarina Souza,Roménia
942,Maria Clara Freitas,Portugal
943,Pedro Lucas Cassiano,Comores
944,Liam Melo,Vietnam
945,Letícia da Costa,Honduras
946,Cauã da Conceição,Moçambique
947,Pietra Gonçalves,Maurícia
948,João Pedro Costela,Benim
949,Carolina Vasconcelos,Seicheles
950,Giovanna Dias,Zimbábue
951,Daniela Carvalho,Japão
952,Lara Rios,Paraguai
953,Olívia Duarte,Kuwait
954,Dr. Erick Abreu,Antilhas Holandesas
955,Luan Ramos,Líbia
956,Dom Machado,Fiji
957,Sophia Siqueira,Equador
958,Benjamin Nogueira,Svalbard e Jan Mayen
959,Natália Correia,Macedônia do Norte
960,Rhavi Freitas,Nigéria
961,Isabella Souza,Território Britânico do Oceano Índico
962,Fernanda Cirino,Gibraltar
963,Ana Lívia da Rosa,Cuba
964,Davi Miguel Ribeiro,Canadá
965,Emanuelly Machado,Líbano
966,Théo Pereira,Ilha do Natal
967,Alana Pinto,Bolívia
968,Isaque Cavalcanti,Dhekelia
969,Melissa Monteiro,Uruguai
970,Manuella Garcia,Dinamarca
971,Liam da Rosa,Usbequistão
972,Benicio Monteiro,Turquemenistão
973,Manuella da Luz,Líbano
974,Henry Vieira,Brunei
975,Benicio Macedo,Turquia
976,Ana Carolina da Costa,Ruanda
977,Marina da Conceição,Bulgária
978,Daniel Ferreira,Iêmen
979,Enrico Gomes,Paquistão
980,Dr. Danilo Câmara,Itália
981,Lavínia Farias,Navassa Island
982,Nina Cavalcanti,Chile
983,Srta. Maria Julia Pacheco,Líbano
984,Gael Jesus,Líbano
985,Vinicius Melo,Belize
986,Otto Silva,Nauru
987,Rael Câmara,Barein
988,Pedro Henrique Ramos,Tajiquistão
989,Thales Melo,Estônia
990,Maria Clara Duarte,Gana
991,Joana Nascimento,Congo-Brazzaville
992,Srta. Ana Clara Rodrigues,Zimbábue
993,Raquel Rios,Navassa Island
994,Vitor Gabriel Fonseca,Noruega
995,Sr. Otávio Silveira,Ilhas Salomão
996,Ryan Nogueira,Tokelau
997,Valentina Ferreira,Geórgia do Sul e Sandwich do Sul
998,Dr. Benjamin da Costa,Zâmbia
999,Srta. Gabrielly Lima,Tunísia
1000,Danilo Vargas,Pitcairn
1001,Sra. Brenda Moura,Síria
1002,Ana Clara Fernandes,Territórios Austrais Franceses
1003,Nicolas Rios,Tuvalu
1004,Matheus Pires,Costa do Marfim
1005,Carolina Jesus,Quirguizistão
1006,Mariana da Luz,Bolívia
1007,Luísa Ribeiro,Macedônia do Norte
1008,Rodrigo Pimenta,São Marinho
1009,Nicole Vasconcelos,Egito
1010,Maria Fernanda Cunha,Brasil
1011,Davi Lucas Novais,Turquia
1012,Rodrigo da Costa,Jamaica
1013,Pedro Henrique Andrade,Ucrânia
1014,Erick Costela,Granada
1015,Ísis Nunes,Gâmbia
1016,Ana Clara Cardoso,Faroé
1017,Sara Oliveira,São Vicente e Granadinas
1018,Vinícius Souza,Monserrate
1019,Thomas Nascimento,Andorra
1020,Pedro Lucas da Mata,Burundi
1021,Luiz Otávio Moura,Território Britânico do Oceano Índico
1022,Ana Laura Oliveira,Nauru
1023,Beatriz Sousa,São Vicente e Granadinas
1024,Ísis Sales,Navassa Island
1025,Clarice Almeida,Paracel Islands
1026,Sra. Bárbara Santos,São Tomé e Príncipe
1027,Luiz Gustavo Silveira,Croácia
1028,Sra. Raquel Machado,Líbia
1029,José Miguel Brito,Dinamarca
1030,Danilo Porto,Santa Lúcia
1031,Thiago das Neves,Canadá
1032,Dra. Elisa da Conceição,Albânia
1033,Melissa Freitas,Costa do Marfim
1034,Ana Luiza Melo,Faroé
1035,Luiz Fernando Barbosa,Nova Zelândia
1036,Sabrina Rodrigues,Estônia
1037,Anna Liz Porto,Namíbia
1038,Gael Rezende,Jersey
1039,Fernanda Campos,República Dominicana
1040,Juan Oliveira,África do Sul
1041,Srta. Maitê Albuquerque,Suécia
1042,Dr. Henrique Castro,Paraguai
1043,Manuela da Mata,Mayotte
1044,Srta. Maria Julia Vieira,Croácia
1045,Henry Cirino,Madagascar
1046,Francisco Guerra,República Checa
1047,Ravi Lucca Mendonça,Dhekelia
1048,Evelyn Silva,Bolívia
1049,André Dias,Jamaica
1050,Danilo Alves,Macedônia do Norte
1051,Rodrigo Sá,Costa Rica
1052,Luan Cunha,Mali
1053,Mateus da Rocha,República Dominicana
1054,Enrico Fernandes,Bielorrússia
1055,Davi Novaes,Áustria
1056,Diego Gomes,Etiópia
1057,Ana Vitória da Costa,Lesoto
1058,Milena Nogueira,Irlanda
1059,Maria Alice Martins,Emirados Árabes Unidos
1060,Kevin Pinto,Dinamarca
1061,Maria Clara Casa Grande,Antígua e Barbuda
1062,Fernanda Sales,Grécia
1063,Sr. Isaac Duarte,Geórgia do Sul e Sandwich do Sul
1064,Dr. Pietro da Mota,Camboja
1065,Brenda Pimenta,Roménia
1066,Dante Rios,Tonga
1067,Levi Porto,Mauritânia
1068,Ana Júlia Cavalcanti,Marianas do Norte
1069,Isis Silveira,Polônia
1070,Lunna Novaes,Domínica
1071,Maria Helena Câmara,Vanuatu
1072,Sophie Fernandes,Svalbard e Jan Mayen
1073,Clara Sousa,Macau
1074,Carlos Eduardo Lopes,Camarões
1075,Dr. Bryan Fogaça,Papua-Nova Guiné
1076,Caroline Carvalho,Domínica
1077,Levi da Rocha,Faroé
1078,Stephany Vargas,Níger
1079,Maria Laura Mendes,Bermudas
1080,Pedro Almeida,Iran
1081,Davi Lucca Cassiano,Montenegro
1082,Dra. Lavínia Barbosa,Vanuatu
1083,João Miguel Leão,Indonésia
1084,Vitor Fonseca,Ilhas Cook
1085,Rodrigo Santos,Namíbia
1086,Olívia Carvalho,Sri Lanka
1087,Dra. Rebeca Novais,Guiné-Bissau
1088,Ana Freitas,Andorra
1089,Cauê da Conceição,Noruega
1090,Ana Lívia Nogueira,Brasil
1091,Ayla Mendes,Israel
1092,Luiza Abreu,Tanzânia
1093,Dante Correia,Guernsey
1094,Ana Sophia Camargo,Afeganistão
1095,Dr. Isaque Siqueira,Belize
1096,Srta. Maria Vitória Porto,Albânia
1097,Dra. Lara Santos,Grécia
1098,Davi Pastor,Ilhas Virgens Britânicas
1099,Pedro Lucas Jesus,Maurícia
1100,Srta. Ana Luiza Farias,Chipre
1101,Dra. Rafaela Araújo,Antilhas Holandesas
1102,Theodoro Porto,Azerbaijão
1103,Daniel Cirino,Paracel Islands
1104,Sr. Vitor Gabriel Souza,Congo-Kinshasa
1105,Srta. Marcela Montenegro,Laos
1106,Natália Vasconcelos,Costa Rica
1107,Srta. Lívia Brito,Guam
1108,Fernanda Ferreira,Etiópia
1109,Zoe Barros,Belize
1110,Dra. Fernanda Marques,Trindade e Tobago
1111,Levi Correia,Estônia
1112,João Guilherme Camargo,Antilhas Holandesas
1113,Davi Luiz Nascimento,Quênia
1114,Maria Júlia Casa Grande,Pitcairn
1115,Sophia Moura,Países Baixos
1116,Yuri Silveira,Libéria
1117,Dra. Melina Pastor,Brasil
1118,Luana Vargas,Navassa Island
1119,Augusto Rios,Gibraltar
1120,Davi Ribeiro,Barein
1121,Lucas Castro,Jamaica
1122,Maria Flor Souza,Brasil
1123,Thomas Cunha,Ruanda
1124,Augusto Albuquerque,Usbequistão
1125,Dr. Antony Cardoso,Emirados Árabes Unidos
1126,Davi Miguel Casa Grande,Congo-Brazzaville
1127,Sr. Rodrigo Caldeira,Serra Leoa
1128,Dra. Maria Liz Costa,Quirguizistão
1129,Olivia Camargo,Filipinas
1130,Sara Barbosa,Quiribáti
1131,João Vitor Casa Grande,Letônia
1132,Lucas Nunes,Iêmen
1133,Henry Sampaio,Jersey
1134,Sra. Stephany Pereira,Noruega
1135,João Felipe Barros,Polinésia Francesa
1136,José Miguel Duarte,Afeganistão
1137,Bella Leão,Micronésia
1138,Luna Pinto,França
1139,Bryan Fonseca,Argentina
1140,Cecília Nascimento,Wallis e Futuna
1141,Caleb Casa Grande,Marrocos
1142,Alice Montenegro,Ilhas dos Cocos
1143,Valentina Machado,Laos
1144,Srta. Agatha Fernandes,Senegal
1145,Davi da Luz,Timor Leste
1146,Olívia Vasconcelos,Marianas do Norte
1147,Emanuella Santos,Eslováquia
1148,Letícia Aragão,Akrotiri
1149,Mariane Sales,São Vicente e Granadinas
1150,Agatha Martins,Colômbia
1151,Evelyn Barbosa,Zimbábue
1152,Caleb Jesus,Uganda
1153,Dr. Heitor Andrade,Quirguizistão
1154,Maria Cunha,Quirguizistão
1155,Lara Abreu,Ilhas Virgens Britânicas
1156,Ana Cecília Rodrigues,Quênia
1157,Eloá Rodrigues,Bósnia e Herzegovina
1158,Ana Luiza da Rocha,Quiribáti
1159,Maria Vitória Ramos,Emirados Árabes Unidos
1160,Theodoro Fonseca,República Checa
1161,Beatriz Cavalcante,Omã
1162,Bella Câmara,Andorra
1163,Sr. Mathias Castro,Ucrânia
1164,Dr. Nicolas Andrade,Somália
1165,Maria Luísa Araújo,Ilha Wake
1166,Ana Laura Andrade,Egito
1167,José Miguel Casa Grande,Egito
1168,Sabrina Cunha,Granada
1169,Marcela Freitas,Uganda
1170,Luiz Miguel Jesus,Omã
1171,Mariane Camargo,Nova Zelândia
1172,Rodrigo Marques,Cuba
1173,Davi Mendes,Serra Leoa
1174,Sr. Henry Correia,Afeganistão
1175,Sr. Nathan da Conceição,Bahamas
1176,Lara Sales,Suíça
1177,Rhavi Fogaça,São Pedro e Miquelon
1178,Catarina das Neves,São Marinho
1179,Arthur Siqueira,Eslováquia
1180,Luara Casa Grande,Bahamas
1181,Gabrielly Correia,Moçambique
1182,Sr. Luiz Henrique Melo,Guam
1183,Pedro Miguel Silva,Trindade e Tobago
1184,Arthur Miguel Nascimento,Sudão
1185,Luigi Moura,Espanha
1186,Yuri Nunes,Vietnam
1187,Otávio Fogaça,República Checa
1188,Eloah Rezende,Venezuela
1189,Ryan da Costa,Brasil
1190,Isadora Ramos,Sri Lanka
1191,Mirella Cardoso,Ashmore and Cartier Islands
1192,João Souza,Malávi
1193,Sra. Alana Nascimento,Tajiquistão
1194,Camila Camargo,Congo-Kinshasa
1195,Catarina Ribeiro,Ilhas Heard e McDonald
1196,Mirella Cardoso,Índia
1197,João Vitor Cunha,Malásia
1198,Mirella Correia,Bósnia e Herzegovina
1199,Benjamim Castro,Guiana
1200,José Miguel Sampaio,Aruba
1201,Allana Freitas,Ilhas Virgens Britânicas
1202,Srta. Maria Cecília Cirino,Timor Leste
1203,Sr. Valentim Abreu,Paquistão
1204,Rafael Melo,Jersey
1205,Dr. João da Rosa,Paraguai
1206,Laura da Conceição,Irlanda
1207,Maria Helena Campos,Ilhas Heard e McDonald
1208,Anthony Gabriel Barbosa,Kuwait
1209,Maitê da Rocha,Brunei
1210,Cauã Caldeira,Líbia
1211,Maria Luísa Rezende,Ilha Bouvet
1212,Sra. Ana Beatriz Dias,Liechtenstein
1213,Dra. Bárbara Lima,Samoa Americana
1214,Antony Duarte,Ilhas Heard e McDonald
1215,Maria Cecília Fernandes,Maurícia
1216,Sofia Peixoto,Ucrânia
1217,Camila Aragão,Benim
1218,Sarah Duarte,Costa do Marfim
1219,Dra. Bella Gomes,Suazilândia
1220,Srta. Melina Lima,União Europeia
1221,Isaac Cirino,Peru
1222,Otávio Aragão,Congo-Kinshasa
1223,Juliana Brito,Grécia
1224,Ester Cunha,Namíbia
1225,Luiz Miguel Azevedo,Eslovênia
1226,Kaique Almeida,Sudão
1227,Ester da Cruz,Guernsey
1228,Amanda Nogueira,Síria
1229,Emanuella das Neves,China
1230,Thomas Mendonça,Lesoto
1231,Sr. Pedro Henrique da Cunha,Tajiquistão
1232,Sofia Cavalcante,São Cristóvão e Neves
1233,Thiago Mendonça,Guiné Equatorial
1234,Srta. Giovanna Fernandes,Timor Leste
1235,Sr. Isaac Aragão,Andorra
1236,Pedro Henrique Machado,Montenegro
1237,Letícia da Conceição,Domínica
1238,Sr. Henry Pinto,Iêmen
1239,Sr. Enzo Gabriel Jesus,Camboja
1240,Amanda Teixeira,Hong Kong
1241,Ana Macedo,Etiópia
1242,Vinícius Câmara,Ilhas Salomão
1243,Breno Câmara,Domínica
1244,Dr. Benício Siqueira,Tanzânia
1245,Dr. Pietro Sá,Maurícia
1246,Dra. Joana Borges,Uganda
1247,Maria Fernanda Camargo,Papua-Nova Guiné
1248,Srta. Isabella Castro,Croácia
1249,Cauê Cirino,Bósnia e Herzegovina
1250,Eloah Sá,Coreia do Norte
1251,Alice Monteiro,Botsuana
1252,Maria Cecília Guerra,Cazaquistão
1253,Renan Borges,Tokelau
1254,Caroline Viana,Filipinas
1255,Anthony Alves,Quirguizistão
1256,Felipe Carvalho,República Centro-Africana
1257,Luiz Otávio Rocha,Bulgária
1258,Maria Alice da Costa,Maurícia
1259,Ravy Câmara,Wallis e Futuna
1260,Guilherme Jesus,Território Britânico do Oceano Índico
1261,Yago Gomes,Fiji
1262,Sra. Maria Flor Teixeira,Jamaica
1263,Maria Vitória da Rosa,Zâmbia
1264,Apollo Ferreira,Usbequistão
1265,Breno Fonseca,Liechtenstein
1266,Maria Fernanda Silveira,Sérvia
1267,Enzo da Mata,Reino Unido
1268,Mariane da Rosa,Vanuatu
1269,Ana Luiza Jesus,China
1270,Dra. Letícia Rodrigues,São Marinho
1271,Melina Jesus,Guatemala
1272,Maria Júlia Carvalho,Nauru
1273,Davi Lucca Teixeira,Mali
1274,Giovanna Gonçalves,Gana
1275,Maria Liz Pimenta,Nigéria
1276,Daniela Marques,Tuvalu
1277,Dra. Valentina Abreu,Congo-Kinshasa
1278,Vitor da Costa,Namíbia
1279,Sophie Ribeiro,Honduras
1280,Sra. Anna Liz Almeida,Singapura
1281,Ísis Farias,Jibuti
1282,Julia Alves,Finlândia
1283,Davi Lucca Almeida,Estônia
1284,Vitor Hugo Novais,Ilhas Caiman
1285,Davi Miguel da Paz,Usbequistão
1286,Rodrigo Novaes,Monserrate
1287,Brayan Porto,Áustria
1288,Camila Leão,Roménia
1289,Erick Vieira,Coreia do Norte
1290,Bruno Monteiro,Libéria
1291,Valentim da Cunha,Palau
1292,Luan Novaes,Grécia
1293,Yago Machado,Islândia
1294,Srta. Fernanda Farias,Santa Lúcia
1295,Luiz Felipe da Cruz,Butão
1296,Dr. Benicio Souza,Ilhas Heard e McDonald
1297,Raul Duarte,Marianas do Norte
1298,Maria Liz da Costa,Wallis e Futuna
1299,Rodrigo Lopes,Ilha Bouvet
1300,Vitória Pires,Barein
1301,Sr. Joaquim Araújo,Jamaica
1302,Nathan Pastor,Nicarágua
1303,Bryan Moraes,São Vicente e Granadinas
1304,Gael Aragão,Jibuti
1305,Brayan Oliveira,Dhekelia
1306,Mateus Montenegro,Liechtenstein
1307,Bruno Macedo,Barbados
1308,Maria Cecília Siqueira,Honduras
1309,Miguel Rios,Azerbaijão
1310,Isabella Carvalho,Samoa
1311,Alícia da Mota,Iêmen
1312,Bento Oliveira,Libéria
1313,Vitor Hugo Sá,Libéria
1314,Heloisa Casa Grande,Coral Sea Islands
1315,Clara Andrade,Costa do Marfim
1316,Joaquim Leão,Butão
1317,Maria Sophia Mendonça,Coral Sea Islands
1318,Dante da Cunha,Tokelau
1319,Nicolas Sousa,Ruanda
1320,Beatriz Novaes,Bermudas
1321,Sra. Esther Pereira,Nova Zelândia
1322,Marcos Vinicius Nogueira,Dhekelia
1323,Bianca Brito,Geórgia
1324,Juan Martins,Liechtenstein
1325,Cauã Vargas,Haiti
1326,Laura Sales,Armênia
1327,Dr. Henry Gabriel Oliveira,Birmânia
1328,Ana Julia Fonseca,Ilha Norfolk
1329,Miguel Lima,São Cristóvão e Neves
1330,Anthony Gabriel Castro,Austrália
1331,Luiza Vieira,Japão
1332,Bianca Sales,Ashmore and Cartier Islands
1333,Mariane Macedo,Guiné Equatorial
1334,Raquel Pimenta,Ilhas Salomão
1335,Yasmin Macedo,Líbano
1336,Rafael Viana,Sérvia
1337,Sr. Vitor Gabriel Vargas,Mauritânia
1338,Eloá da Mata,Eslováquia
1339,Dr. Isaque da Costa,Cuba
1340,Fernando Pacheco,Santa Lúcia
1341,Davi Lucca Fernandes,Congo-Kinshasa
1342,Thales Silveira,Burquina Faso
1343,Cecilia Lopes,Porto Rico
1344,Maria Fernanda Moraes,Malta
1345,Rebeca Moreira,Bolívia
1346,Luana Sousa,Costa Rica
1347,Maria Laura Cavalcante,Samoa Americana
1348,Calebe Rezende,Indonésia
1349,Otto Monteiro,Gabão
1350,Clarice Novaes,Ilhas dos Cocos
1351,Anthony Gabriel da Luz,Suíça
1352,Sr. Diogo Cunha,Áustria
1353,Lucas Costela,Cuba
1354,Enzo Gabriel Montenegro,Domínica
1355,Rodrigo Siqueira,Polônia
1356,Francisco Silveira,Mauritânia
1357,Brenda Castro,Sara Ocidental
1358,Yasmin da Rocha,Dinamarca
1359,Lívia Camargo,República Centro-Africana
1360,Carolina da Paz,São Pedro e Miquelon
1361,Felipe Lopes,Vaticano
1362,Luiz Miguel Viana,Ilha do Natal
1363,Ravi Monteiro,Eritreia
1364,João Lucas Pacheco,Dhekelia
1365,Emanuella da Luz,Domínica
1366,Sr. Igor Rezende,Nauru
1367,Enzo Viana,Tanzânia
1368,Julia Fernandes,Tuvalu
1369,Liam Mendonça,Costa do Marfim
1370,Paulo Cunha,Afeganistão
1371,João Guilherme Araújo,Vaticano
1372,Ian Rezende,Jordânia
1373,Théo Vieira,Papua-Nova Guiné
1374,Theo Casa Grande,Iêmen
1375,Elisa Lopes,Malávi
1376,Srta. Isabela da Paz,Coreia do Sul
1377,Gabriela Monteiro,República Dominicana
1378,Mariana da Rocha,Antilhas Holandesas
1379,Srta. Carolina Barbosa,Maurícia
1380,Srta. Nicole Vieira,São Marinho
1381,Luna Novais,Malta
1382,Clara Marques,Ilha Norfolk
1383,Luiz Gustavo Caldeira,Pitcairn
1384,Ana Liz da Rosa,Ruanda
1385,Maria Liz Fonseca,Bósnia e Herzegovina
1386,Ravy Aparecida,Mongólia
1387,Henry Sá,Lesoto
1388,Isabelly Fonseca,Ilhas Salomão
1389,Sra. Isadora das Neves,Bielorrússia
1390,Dr. Nicolas Porto,Namíbia
1391,Eloá da Rosa,Ashmore and Cartier Islands
1392,Dr. Josué da Conceição,Honduras
1393,Srta. Heloisa Ramos,Argentina
1394,Ana Julia Leão,Samoa
1395,Gabriela da Conceição,Etiópia
1396,Dom Rocha,Guam
1397,Rodrigo Vargas,Botsuana
1398,Cecilia Vargas,Paquistão
1399,Bárbara Macedo,Moldávia
1400,Dr. Luiz Fernando da Luz,Índia
1401,Srta. Vitória Rios,Islândia
1402,Stephany da Paz,Haiti
1403,Gabrielly Andrade,Irlanda
1404,Raul Cassiano,Bélgica
1405,Erick Almeida,República Dominicana
1406,Kaique Cavalcante,Suécia
1407,Diego da Luz,Ilha Bouvet
1408,Allana Martins,Nova Zelândia
1409,João Gabriel Rocha,Moldávia
1410,Sr. Vinícius Cavalcanti,Sérvia
1411,Lívia Fonseca,Paraguai
1412,Lavínia das Neves,Andorra
1413,Maria Flor Cassiano,Jamaica
1414,Luísa Novaes,Grécia
1415,Brenda Cirino,Ruanda
1416,Vinicius Garcia,Micronésia
1417,Davi Miguel Ribeiro,Costa Rica
1418,Sr. Kaique Vasconcelos,Micronésia
1419,Oliver da Cunha,Santa Helena
1420,Lorena Albuquerque,Tanzânia
1421,Sr. João Miguel Macedo,Akrotiri
1422,Vitor Hugo Abreu,Nova Caledónia
1423,Anthony Nunes,Áustria
1424,Lara Cardoso,Ilhas Salomão
1425,Ravy Nascimento,Micronésia
1426,Srta. Manuella Fogaça,Reino Unido
1427,Camila Correia,Birmânia
1428,Raul da Cunha,Tonga
1429,Daniel Azevedo,Chade
1430,Dr. Henry Gabriel Barros,Argélia
1431,Maria Liz Nascimento,Armênia
